Date Published,Document Type,Measure,Drawing Number,Description,View
Select this document,22 Dec 2021,Correspondence,,,OFFICER TO PARISH REGARDING EOT,
Select this document,17 Dec 2021,Correspondence,,,REQUEST FOR EOT ON COMMENTS CHISELDON PARISH,
Select this document,13 Dec 2021,Correspondence,,42-21 SHEET 1,THE LOCATION PLAN,
Select this document,13 Dec 2021,Correspondence,,42-21 SHEET 2,BLOCK PLAN OF THE SITE,
Select this document,13 Dec 2021,Drawing,,42-21 SHEET 3,EXISTING FLR PLAN,
Select this document,13 Dec 2021,Drawing,,42-21 SHEET 4,EXISTING ELEVATIONS,
Select this document,13 Dec 2021,Drawing,,42-21 SHEET 6,PROPOSED FLR PLANS,
Select this document,13 Dec 2021,Drawing,,42-21 SHEET 6,PROPOSED ELEVATIONS,
Select this document,13 Dec 2021,CIL,,,CIL QUESTIONS,
Select this document,13 Dec 2021,Correspondence,,,DESIGN & ACCESS STATEMENT,
Select this document,13 Dec 2021,Correspondence,,,NOTICE UNDER ARTICLE 13 OF APPLICATION FOR PLANNING PERMISSION,
Select this document,13 Dec 2021,Application Form,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,24 Jan 2022,Decision,,,,
Select this document,24 Jan 2022,Delegated Report,,,,
Select this document,20 Jan 2022,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,21 Dec 2021,Application Form,,,,
Select this document,21 Dec 2021,Drawing,,2.0,EXISTING & PROPOSED FLOOR PLANS,
Select this document,21 Dec 2021,CIL,,,APPLICATION FORM,
Select this document,21 Dec 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,21 Dec 2021,Drawing,,1.0,EXISTING & PROPOSED ELEVATIONS,
Select this document,26 Jan 2022,CIL,,,CIL-2022-0004-LN1 DECISION INFORMATIVE,
Select this document,26 Jan 2022,CIL,,,S-HOU-21-1897 - SELF-BUILD RESIDENTIAL EXTENSION EXEMPTION,
Select this document,25 Jan 2022,Decision,,,,
Select this document,25 Jan 2022,Delegated Report,,,,
Select this document,07 Dec 2021,Drawing,,,PROPOSED EXTERNAL ELEVATIONS,
Select this document,07 Dec 2021,Drawing,,,EXISTING PLANNING GROUND FLOOR PLAN,
Select this document,07 Dec 2021,Drawing,,,EXISTING PLANNING FIRST FLOOR PLAN,
Select this document,07 Dec 2021,Drawing,,,EXISTING PLANNING ROOF PLAN,
Select this document,07 Dec 2021,Drawing,,,PROPOSED PLANNING GROUND FLOOR PLAN,
Select this document,07 Dec 2021,Drawing,,,PROPOSED PLANNING 1ST FLOOR PLAN,
Select this document,07 Dec 2021,Drawing,,,PROPOSED PLANNING SECOND FLOOR AND ROOF PLAN,
Select this document,07 Dec 2021,Drawing,,,LOCATION AND BLOCK PLAN,
Select this document,07 Dec 2021,Correspondence,,,COVERING LETTER,
Select this document,07 Dec 2021,Drawing,,,EXISTING EXTERNAL ELEVATIONS,
Select this document,07 Dec 2021,CIL,,,CIL QUESTIONS,
Select this document,07 Dec 2021,Application Form,,,,
Select this document,28 Jan 2022,Decision,,,,
Select this document,28 Jan 2022,Delegated Report,,,,
Select this document,07 Dec 2021,Drawing,,3253/1,FULL PLANS,
Select this document,07 Dec 2021,Application Form,,,,
Select this document,07 Dec 2021,Drawing,,,THE LOCATION PLAN,
Select this document,14 Jan 2022,Decision,,,,
Select this document,14 Dec 2021,Correspondence,,,AGENT TO OFFICER,
Select this document,14 Dec 2021,Consultee Comment,,,DRAINAGE ENGINEER,
Select this document,06 Dec 2021,Drawing,,HE0002-GDA-EC-ZZ-DR-A-6001,PROPOSED GRD FLOOR PLAN AND ROOF PLAN,
Select this document,06 Dec 2021,Drawing,,HE002-GDA-EC-ZZ-DR-A-6002,PROPOSED ELEVATIONS,
Select this document,06 Dec 2021,Drawing,,HE0002-GDA-EC-ZZ-DR-A-6003,SITE PLAN,
Select this document,06 Dec 2021,Drawing,,HE0002-GDA-EC-ZZ-DR-A-6004,LOCATION PLAN,
Select this document,06 Dec 2021,Drawing,,HE0002-GDA-EC-ZZ-DR-A-6005,SITE SECTIONS,
Select this document,06 Dec 2021,Drawing,,HE002-MMD-EC-F1-DR-D-0301 REV C1,BELOW GROUND DRAINAGE DETAILS,
Select this document,06 Dec 2021,Drawing,,HE002-MMD-EC-ZZ-DR-D-0001 REV C1,PROPOSED BELOW GROUND SURFACE WATER DRAINAGE SHEET 1 OF 1,
Select this document,06 Dec 2021,Drawing,,HE0002-MMD-EC-ZZ-DR-D-0002,BELOW GROUND DRAINAGE PROPOSED FOUL WATER NETWORK,
Select this document,06 Dec 2021,Drawing,,HE0002-MMD-EC-F1-DR-D-0300 REV C1,BELOW GROUND DRAINAGE DETAILS,
Select this document,06 Dec 2021,Correspondence,,,TECHNICAL NOTICE,
Select this document,06 Dec 2021,Correspondence,,,COVERING LETTER,
Select this document,06 Dec 2021,Application Form,,,,
Select this document,12 Jan 2022,Decision,,,,
Select this document,12 Jan 2022,Delegated Report,,,,
Select this document,10 Jan 2022,Consultee Comment,,,CENTRAL SWINDON NORTH PARISH,
Select this document,08 Jan 2022,Consultee Comment,,,HIGHWAYS,
Select this document,16 Dec 2021,Correspondence,,,NOTICE UNDER ARTICLE 6,
Select this document,16 Dec 2021,Drawing,,A2/21/30,EXISTING AND PROPOSED PLAN,
Select this document,27 Jan 2022,Decision,,,,
Select this document,27 Jan 2022,Delegated Report,,,,
Select this document,17 Jan 2022,Revised Drawing,,REV A,EXISTING-PROPOSED,
Select this document,22 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,16 Dec 2021,Consultee Comment,,,HAYDON WICK PARISH,
Select this document,04 Dec 2021,Drawing,,21/1668/01,EXISTING PROPOSED,
Select this document,04 Dec 2021,Drawing,,,THE LOCATION PLAN,
Select this document,04 Dec 2021,Drawing,,,BLOCK PLAN,
Select this document,04 Dec 2021,CIL,,,CIL,
Select this document,04 Dec 2021,Application Form,,,,
Select this document,13 Jan 2022,Delegated Report,,,,
Select this document,13 Jan 2022,Decision,,,,
Select this document,14 Dec 2021,Drawing,,146-PO5,ILLUSTRATIVE GRD FLOOR PLAN,
Select this document,14 Dec 2021,Drawing,,146-PO6,ILLUSTRATIVE ELEVATIONS,
Select this document,14 Dec 2021,Drawing,,146-PO2,PROPOSED 1ST FLOOR PLAN,
Select this document,14 Dec 2021,Drawing,,146-PO3,PROPOSED ELEVATIONS,
Select this document,14 Dec 2021,CIL,,146-SO3,CIL,
Select this document,14 Dec 2021,Correspondence,,146-SO3,SUPPORTING DOCUMENTS,
Select this document,14 Dec 2021,Drawing,,146-L01,SITE LOCATION PLAN,
Select this document,14 Dec 2021,Drawing,,146-PO1,PROPOSED GRD FLOOR PLAN,
Select this document,14 Dec 2021,Drawing,,146-PO4,BLOCK AND ROOF PLAN,
Select this document,14 Dec 2021,Drawing,,146-SO1,SURVEY SITE PLAN,
Select this document,14 Dec 2021,Drawing,,146-SO2,SURVEY FLOOR PLAN,
Select this document,14 Dec 2021,Drawing,,146-SO3,SURVEY ELEVATIONS,
Select this document,12 Jan 2022,Decision,,,,
Select this document,12 Jan 2022,Delegated Report,,,,
Select this document,14 Dec 2021,Drawing,,SI_1998_PROPOSED DWG,HOUSE AS EXISTING,
Select this document,14 Dec 2021,Drawing,,REV C_1998_PROPOSED DWG,PROPOSED DESIGN PLANS ELEVATIONS AND SECTIONS,
Select this document,17 Jan 2022,Decision,,,,
Select this document,24 Jan 2022,Delegated Report,,,,
Select this document,24 Jan 2022,Decision,,,,
Select this document,16 Dec 2021,Consultee Comment,,,CENTRAL SWINDON NORTH PARISH,
Select this document,01 Dec 2021,Drawing,,,BLOCK PLAN OF THE SITE,
Select this document,01 Dec 2021,Drawing,,CN-07-124127501,EXISTING AND PROPOSED GRD FLOOR PLAN AND ELEVATIONS,
Select this document,01 Dec 2021,Application Form,,,,
Select this document,17 Jan 2022,Correspondence,,RE LANDSCAPING,EMAILS WITH AGENT,
Select this document,17 Jan 2022,Decision,,,,
Select this document,17 Jan 2022,Delegated Report,,,,
Select this document,14 Jan 2022,Consultee Comment,,,HIGHWAYS,
Select this document,13 Jan 2022,Photo,,ATTACHED TO EMAIL,PICTURE OF PYRACANTHA,
Select this document,13 Jan 2022,Correspondence,,,FROM AGENT,
Select this document,13 Jan 2022,Photo,,ATTACHED TO EMAIL,INFORMATION ABOUT VELUX,
Select this document,12 Jan 2022,Correspondence,,,TO AGENT,
Select this document,03 Dec 2021,Drawing,,1,FULL PLANS,
Select this document,03 Dec 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,03 Dec 2021,CIL,,,CIL,
Select this document,17 Jan 2022,Decision,,,,
Select this document,24 Jan 2022,Correspondence,,,EOT CONFIRMATION,
Select this document,24 Jan 2022,Delegated Report,,,,
Select this document,24 Jan 2022,Revised Drawing,,CS1PL05 REV A,PROPOSED 3D EXTERNAL VIEWS,
Select this document,24 Jan 2022,Revised Drawing,,CS1PL04 REV A,PROPOSED ELEVATIONS,
Select this document,24 Jan 2022,Revised Drawing,,CS1PL03 REV A,PROPOSED PLANS AND SECTIONS,
Select this document,24 Jan 2022,Decision,,,,
Select this document,02 Dec 2021,Consultee Comment,,,PARISH COUNCIL,
Select this document,27 Nov 2021,Drawing,,,SITE LOCATION AND BLOCK PLAN,
Select this document,27 Nov 2021,Drawing,,,EXISTING PLANS SECTIONS & ELEVATIONS,
Select this document,27 Nov 2021,Drawing,,,PROPOSED PLANS AND SECTION,
Select this document,27 Nov 2021,Drawing,,PL04,PROPOSED ELEVATIONS,
Select this document,27 Nov 2021,Drawing,,,PROPOSED 3D EXTERNAL VIEWS,
Select this document,27 Nov 2021,Application Form,,,,
Select this document,20 Jan 2022,Decision,,,,
Select this document,20 Jan 2022,Delegated Report,,,,
Select this document,18 Jan 2022,Correspondence,,,AGENT TO OFFICER,
Select this document,18 Jan 2022,Revised Drawing,,,BLOCK PLAN 2,
Select this document,18 Jan 2022,Revised Drawing,,,BLOCK PLAN 1,
Select this document,29 Dec 2021,Consultee Comment,,,LANDSCAPE,
Select this document,26 Nov 2021,Drawing,,,SITE PLAN,
Select this document,26 Nov 2021,Correspondence,,,COVERING LETTER,
Select this document,26 Nov 2021,Application Form,,,,
Select this document,26 Nov 2021,Correspondence,,,PLANNING STATEMENT,
Select this document,19 Jan 2022,Decision,,,,
Select this document,19 Jan 2022,Delegated Report,,,,
Select this document,26 Nov 2021,Drawing,,,THE LOCATION PLAN,
Select this document,26 Nov 2021,Application Form,,,,
Select this document,26 Nov 2021,Drawing,,2220/01,FULL PLANS,
Select this document,21 Jan 2022,Delegated Report,,,,
Select this document,21 Jan 2022,Decision,,,,
Select this document,20 Jan 2022,Revised Drawing,,2.0,PROPOSED DRIVE,
Select this document,20 Jan 2022,Revised Drawing,,1.0,BLOCK PLAN AND DRAWINGS,
Select this document,22 Dec 2021,Consultee Comment,,,WROUGHTON PARISH,
Select this document,14 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,29 Nov 2021,CIL,,,CIL,
Select this document,29 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,29 Nov 2021,Drawing,,1.0,PROPOSED AND EXISTING SIDE AND FRONT PLUS BLOCK PLAN,
Select this document,29 Nov 2021,Drawing,,2.0,"EXISTING & PROPOSED GRD FLOOR PLAN AND PROPOSED SIDE,BACK AND FRONT PLAN",
Select this document,04 Jan 2022,Decision,,,,
Select this document,04 Jan 2022,Delegated Report,,,,
Select this document,29 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,29 Nov 2021,Drawing,,,LOCATION PLAN,
Select this document,29 Nov 2021,Drawing,,21-1698.01,EXISTING PROPOSED,
Select this document,24 Jan 2022,Decision,,,,
Select this document,24 Jan 2022,Delegated Report,,,,
Select this document,21 Jan 2022,Correspondence,,,WITH ATTACHMENTS,
Select this document,21 Jan 2022,Other,,ATTACHED TO EMAIL,MATERIALS,
Select this document,21 Jan 2022,Revised Drawing,,21 033 REVC,ELEVATIONS WITH MATERIALS KEY,
Select this document,17 Jan 2022,Revised Drawing,,G REV A,GARAGE ELEVATIONS AND PLANS,
Select this document,17 Jan 2022,Correspondence,,,FROM AGENT,
Select this document,10 Jan 2022,Revised Drawing,,21-033 A REV D,SITE PLAN,
Select this document,04 Jan 2022,Correspondence,,,TO AGENT,
Select this document,25 Nov 2021,Drawing,,21-033 G REV A,GARAGE PLANS AND ELEVATIONS,
Select this document,25 Nov 2021,Correspondence,,,FLOOD RISK ASSESSMENT,
Select this document,25 Nov 2021,Drawing,,21-033 LP REV A,THE LOCATION PLAN,
Select this document,25 Nov 2021,Drawing,,21-033 SP REV C,SITE PLAN,
Select this document,25 Nov 2021,Correspondence,,,PLOT PASSPORT,
Select this document,25 Nov 2021,Correspondence,,,PLOT PASSPORT COMPLIANCE DOCUMENT,
Select this document,25 Nov 2021,Correspondence,,,STREET NAME AND NUMBERING UPDATE,
Select this document,25 Nov 2021,CIL,,,CIL,
Select this document,25 Nov 2021,Application Form,,,,
Select this document,28 Jan 2022,Delegated Report,,,,
Select this document,28 Jan 2022,Decision,,,,
Select this document,18 Jan 2022,Revised Drawing,,20220117-1 REV A,PROPOSED ELEVATIONS,
Select this document,18 Jan 2022,Revised Drawing,,20220117-1 REV A,PROPOSED FLOOR PLANS,
Select this document,17 Jan 2022,Correspondence,,,EOT CONFIRMATION,
Select this document,24 Nov 2021,Drawing,,"RC-LP-01, RC-PR-BP-01 & RC-EX-O1",LOCATION PLAN AND EXISTING BLOCK PLAN/EXISTING AND PROPOSED FLOOR PLANS AND ELEV,
Select this document,24 Nov 2021,Application Form,,,,
Select this document,19 Jan 2022,Decision,,,,
Select this document,19 Jan 2022,Delegated Report,,,,
Select this document,16 Dec 2021,Consultee Comment,,,CENTRAL SWINDON NORTH PARISH,
Select this document,29 Nov 2021,CIL,,,CIL,
Select this document,29 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,29 Nov 2021,Drawing,,1.0,PROPOSED SINGLE STOREY EXTENSION EXISTING AND PROPOSED,
Select this document,17 Jan 2022,Delegated Report,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,24 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,24 Nov 2021,Drawing,,,THE LOCATION PLAN,
Select this document,24 Nov 2021,CIL,,,CIL QUESTIONS,
Select this document,24 Nov 2021,Drawing,,3252/1,FULL PLANS,
Select this document,24 Nov 2021,Application Form,,,,
Select this document,21 Jan 2022,Delegated Report,,,,
Select this document,21 Jan 2022,Decision,,,,
Select this document,19 Jan 2022,Correspondence,,,EOT CONFIRMATION,
Select this document,19 Jan 2022,Revised Drawing,,REV B,PROPOSED,
Select this document,30 Nov 2021,Public Comment,,,5 VANBRUGH GATE BROOME MANOR SWINDON,
Select this document,28 Nov 2021,Public Comment,,,"5 VANBRUGH GATE, BROOME MANOR, SWINDON",
Select this document,23 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,23 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,23 Nov 2021,Drawing,,21/1672/01,EXISTING FLOOR PLANS AND ELEVATIONS,
Select this document,23 Nov 2021,Drawing,,21/1672/02 REV A,PROPOSED FLOOR PLANS AND ELEVATIONS,
Select this document,23 Nov 2021,CIL,,,,
Select this document,23 Nov 2021,Application Form,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,19 Jan 2022,Decision,,,,
Select this document,19 Jan 2022,Delegated Report,,,,
Select this document,08 Dec 2021,CIL,,,CIL,
Select this document,08 Dec 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,08 Dec 2021,Drawing,,21/125,LOFT CONVERSION WITH REAR DORMER,
Select this document,27 Jan 2022,CIL,,,S-PAOTH-21-1837 - PRIOR APPROVAL APPS POST DECISION LETTER,
Select this document,20 Jan 2022,Consultee Comment,,,HIGHWAY FINAL COMMENTS,
Select this document,19 Jan 2022,Delegated Report,,,,
Select this document,19 Jan 2022,Decision,,,,
Select this document,06 Jan 2022,Drawing,,,PROPOSED AND EXISTING ELEVATION PLANS,
Select this document,06 Jan 2022,Consultee Comment,,,ENVIRONMENTAL HEALTH,
Select this document,04 Jan 2022,Correspondence,,,APPLICANT TO OFFICER,
Select this document,23 Dec 2021,Consultee Comment,,,URBAN DESIGN,
Select this document,17 Dec 2021,Consultee Comment,,,DRAINAGE ENGINEER,
Select this document,14 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,06 Dec 2021,Consultee Comment,,,CONTAMINATED LAND OFFICER,
Select this document,24 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,24 Nov 2021,Drawing,,,FLOOR PLANS AS EXISTING AND PROPOSED,
Select this document,23 Nov 2021,Application Form,,,,
Select this document,13 Jan 2022,Delegated Report,,,,
Select this document,13 Jan 2022,Decision,,,,
Select this document,16 Dec 2021,Consultee Comment,,,HAYDON WICK PARISH,
Select this document,01 Dec 2021,Correspondence,,,REQUEST FOR EOT ON COMMENTS HAYDON WICK PARISH,
Select this document,01 Dec 2021,Correspondence,,,OFFICER TO PARISH REGARDING EOT,
Select this document,18 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,18 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,18 Nov 2021,CIL,,,CIL QUESTIONS,
Select this document,18 Nov 2021,Drawing,,3250/1,PROPOSED SIDE EXTENSION,
Select this document,18 Nov 2021,Application Form,,,,
Select this document,17 Jan 2022,Delegated Report,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,17 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,17 Dec 2021,Correspondence,,,EOT CONFIRMATION,
Select this document,30 Nov 2021,Application Form,,,,
Select this document,30 Nov 2021,Drawing,,,SITE LOCATION PLAN,
Select this document,30 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,10 Jan 2022,Decision,,,,
Select this document,10 Jan 2022,Delegated Report,,,,
Select this document,23 Dec 2021,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,18 Nov 2021,Drawing,,21/1665/01 REV A,EXISTING PROPOSED,
Select this document,18 Nov 2021,Drawing,,,THE LOCATION PLAN,
Select this document,18 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,18 Nov 2021,CIL,,,CIL,
Select this document,18 Nov 2021,Application Form,,,,
Select this document,07 Jan 2022,Decision,,,,
Select this document,07 Jan 2022,Delegated Report,,,,
Select this document,17 Dec 2021,Supporting Documents,,,DRAINAGE AND WATER SEARCH,
Select this document,17 Dec 2021,Supporting Documents,,,DRAINAGE AND WATER SEARCH,
Select this document,17 Dec 2021,Correspondence,,,AGENT TO OFFICER -,
Select this document,17 Dec 2021,Revised Drawing,,050 REV A,PROPOSED FLOOR PLANS,
Select this document,17 Dec 2021,Revised Drawing,,,STREET VIEW,
Select this document,13 Dec 2021,Public Comment,,PHOTO,114 UPHAM ROAD,
Select this document,13 Dec 2021,Public Comment,,,114 UPHAM ROAD,
Select this document,13 Dec 2021,Public Comment,,PHOTO,114 UPHAM ROAD,
Select this document,11 Dec 2021,Public Comment,,,"114 UPHAM ROAD, OLD WALCOT",
Select this document,18 Nov 2021,Drawing,,764/010,SITE LOCATION PLAN,
Select this document,18 Nov 2021,Drawing,,764/005,EXISTING SITE PLAN,
Select this document,18 Nov 2021,Drawing,,764/010,EXISTING FLOOR PLAN,
Select this document,18 Nov 2021,Drawing,,764/100,PROPOSED FLOOR PLAN,
Select this document,18 Nov 2021,Drawing,,764/020,EXISTING ELEVATIONS,
Select this document,18 Nov 2021,Drawing,,764/200,PROPOSED ELEVATIONS,
Select this document,18 Nov 2021,Drawing,,764/050,PROPSOED SITE PLAN,
Select this document,18 Nov 2021,CIL,,,CIL QUESTIONS,
Select this document,18 Nov 2021,Application Form,,,,
Select this document,12 Jan 2022,Decision,,,,
Select this document,12 Jan 2022,Delegated Report,,,,
Select this document,23 Dec 2021,Consultee Comment,,,STRATTON ST MARGARET PARISH,
Select this document,09 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,09 Dec 2021,Consultee Comment,,,HIGHWAYS,
Select this document,24 Nov 2021,Drawing,,,LOCATION PLAN,
Select this document,24 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,24 Nov 2021,CIL,,,CIL,
Select this document,04 Jan 2022,Decision,,,,
Select this document,04 Jan 2022,Delegated Report,,,,
Select this document,17 Nov 2021,Drawing,,001 04/06/2021,FULL PLANS,
Select this document,17 Nov 2021,CIL,,,CIL QUESTIONS,
Select this document,17 Nov 2021,Application Form,,,,
Select this document,26 Jan 2022,Decision,,,,
Select this document,26 Jan 2022,Delegated Report,,,,
Select this document,20 Jan 2022,Correspondence,,,EOT CONFIRMATION,
Select this document,13 Jan 2022,Revised Drawing,,REV B,EXISTING-PROPOSED,
Select this document,11 Jan 2022,Revised Drawing,,REV A,BLOCK PLAN,
Select this document,17 Nov 2021,Drawing,,,BLOCK PLAN,
Select this document,17 Nov 2021,CIL,,,CIL,
Select this document,17 Nov 2021,Application Form,,,,
Select this document,19 Jan 2022,Delegated Report,,,,
Select this document,19 Jan 2022,Decision,,,,
Select this document,13 Jan 2022,Revised Drawing,,1145-04 REV B,PROPOSED ELEVATIONS AND PLANS,
Select this document,13 Jan 2022,Supporting Documents,,REV A,MATERIALS,
Select this document,13 Jan 2022,Consultee Comment,,,URBAN DESIGN,
Select this document,13 Jan 2022,Revised Drawing,,1145-02 REV D,PROPOSED ELEVATIONS AND PLANS,
Select this document,12 Jan 2022,Supporting Documents,,,EXTERIOR MATERIALS SHEET,
Select this document,29 Dec 2021,Consultee Comment,,,CONSERVATION,
Select this document,16 Dec 2021,Revised Drawing,,,PROPOSED PLANS,
Select this document,10 Dec 2021,Consultee Comment,,,URBAN DESIGN,
Select this document,08 Dec 2021,Consultee Comment,,,BISHOPSTONE PARISH,
Select this document,17 Nov 2021,Drawing,,1145-01,EDXISTING ELEVATIONS AND PLANS,
Select this document,17 Nov 2021,Drawing,,1145-03,CONSTRUCTION DETAILS,
Select this document,17 Nov 2021,CIL,,,CIL QUESTIONS,
Select this document,17 Nov 2021,Drawing,,1145-02,PROPOSED ELEVATIONS AND PLANS,
Select this document,17 Nov 2021,Application Form,,,,
Select this document,17 Jan 2022,Decision,,,,
Select this document,16 Nov 2021,Drawing,,,LOCATION OF TREE,
Select this document,16 Nov 2021,Application Form,,,,
Select this document,14 Jan 2022,Decision,,,,
Select this document,14 Jan 2022,Delegated Report,,,,
Select this document,16 Dec 2021,Consultee Comment,,,HAYDON WICK PARISH,
Select this document,16 Dec 2021,Consultee Comment,,,HAYDON WICK PARISH,
